query_id,query_text,input_tokens,chunk_ids_needed,shared_chunk_ids,unique_chunk_ids,num_chunks
12,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",348,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[11],12
13,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",372,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12],13
14,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",396,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[13],14
15,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",420,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",[14],15
16,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",444,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",[15],16
17,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",468,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",[16],17
18,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",492,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",[17],18
19,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",516,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",[18],19
20,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",540,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",[19],20
21,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",564,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[20],21
22,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",588,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",[21],22
23,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",612,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",[22],23
24,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",636,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",[23],24
25,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",660,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",[24],25
26,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",684,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",[25],26
27,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",708,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",[26],27
28,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",732,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",[27],28
29,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",756,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[28],29
30,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",780,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",[29],30
31,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",804,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",[30],31
32,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",828,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",[31],32
33,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",852,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",[32],33
34,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",876,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",[33],34
35,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",900,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",[34],35
36,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",924,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",[35],36
37,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",948,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",[36],37
38,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",972,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",[37],38
39,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",996,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",[38],39
40,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1020,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",[39],40
41,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1044,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",[40],41
42,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1068,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",[41],42
43,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1092,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",[42],43
44,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1116,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]",[43],44
45,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1140,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",[44],45
46,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1164,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",[45],46
47,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1188,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",[46],47
48,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1212,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]",[47],48
49,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1236,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",[48],49
50,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is answer for turn 1.
User: What is the calibration procedu",1260,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",[49],50
