Experiment,Query_ID,State,Latency (s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,L3 Disk Cache (MB),RAM (GB),Prompt Preview
1. Shared Prefix,30,Warm,0.2855,651.39,1.72,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,31,Warm,0.2147,866.24,1.294,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,32,Warm,0.1574,1168.87,0.96,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,33,Warm,0.2315,824.98,1.354,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,34,Warm,0.192,952.98,1.178,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,35,Warm,0.1824,1030.98,1.085,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,36,Warm,0.1987,940.93,1.19,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,37,Warm,0.1988,940.74,1.19,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,38,Warm,0.1754,1077.5,1.038,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,39,Warm,0.2325,812.8,1.376,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,40,Warm,0.201,920.49,1.218,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,41,Warm,0.1886,1002.3,1.116,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,42,Warm,0.2365,790.78,1.416,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,43,Warm,0.2188,864.0,1.294,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,44,Warm,0.1764,1060.06,1.056,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,45,Warm,0.1793,1059.93,1.054,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,46,Warm,0.1922,972.83,1.151,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,47,Warm,0.1777,1080.55,1.033,172,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,48,Warm,0.1826,1029.3,1.087,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,49,Warm,0.2247,832.15,1.346,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,50,Warm,0.2451,750.85,1.494,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),1,Cold,0.2488,1997.96,0.521,477,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),2,Warm,0.1801,2826.16,0.368,489,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),3,Warm,0.2336,2165.91,0.481,486,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),4,Warm,0.2539,2001.02,0.52,488,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),5,Warm,0.1826,2781.71,0.374,488,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),6,Warm,0.2395,2091.77,0.498,481,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),7,Warm,0.213,2384.98,0.436,488,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),8,Warm,0.2287,2234.82,0.466,491,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),9,Warm,0.2366,2151.23,0.484,489,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),10,Warm,0.2097,2403.85,0.433,484,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),11,Warm,0.1925,2618.22,0.398,484,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),12,Warm,0.1607,3124.48,0.333,482,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),13,Warm,0.2198,2302.35,0.452,486,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),14,Warm,0.2493,2061.93,0.505,494,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),15,Warm,0.1838,2698.56,0.386,476,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),16,Warm,0.2017,2493.63,0.418,483,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),17,Warm,0.1995,2531.34,0.411,485,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),18,Warm,0.2244,2246.05,0.464,484,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),19,Warm,0.295,1715.39,0.607,486,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),20,Warm,0.2058,2468.05,0.422,488,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),21,Warm,0.2388,2098.03,0.496,481,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),22,Warm,0.1788,2852.27,0.365,490,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),23,Warm,0.1902,2660.76,0.391,486,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),24,Warm,0.2303,2171.12,0.48,480,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),25,Warm,0.2242,2247.96,0.463,484,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),26,Warm,0.2109,2380.2,0.438,482,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),27,Warm,0.21,2394.91,0.435,483,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),28,Warm,0.1973,2533.87,0.411,480,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),29,Warm,0.2809,1780.12,0.585,480,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),30,Warm,0.2968,1691.25,0.616,482,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),31,Warm,0.2535,1980.45,0.526,482,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),32,Warm,0.1821,2761.68,0.377,483,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),33,Warm,0.2441,2077.23,0.501,487,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),34,Warm,0.1869,2691.92,0.387,483,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),35,Warm,0.214,2312.66,0.451,475,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),36,Warm,0.179,2809.54,0.371,483,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),37,Warm,0.2106,2350.71,0.443,475,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),38,Warm,0.1863,2693.89,0.387,482,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),39,Warm,0.2151,2324.71,0.448,480,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),40,Warm,0.2145,2325.81,0.448,479,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),41,Warm,0.2831,1772.98,0.587,482,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),42,Warm,0.233,2163.07,0.481,484,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),43,Warm,0.2805,1789.65,0.582,482,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),44,Warm,0.2357,2147.12,0.485,486,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),45,Warm,0.2273,2186.73,0.476,477,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),46,Warm,0.2487,2014.67,0.517,481,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),47,Warm,0.1861,2702.97,0.385,483,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),48,Warm,0.1724,2952.07,0.353,489,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),49,Warm,0.1603,3112.06,0.335,479,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
2. Shared Docs (RAG),50,Warm,0.2122,2402.97,0.433,490,20,3.0,0.92,Tongaat Hulett and Implats ESG Report Summary — Tongaat Hulett is a leading agri…
3. No Context (Random),1,Cold,0.2158,125.12,30.828,7,20,0.0,0.92,Who is the founder of Microsoft?…
3. No Context (Random),2,Cold,0.2781,100.68,34.765,8,20,0.0,0.92,What is the chemical symbol for sodium?…
3. No Context (Random),3,Cold,0.2608,115.03,26.08,10,20,0.0,0.92,How many players are there in a baseball team?…
3. No Context (Random),4,Cold,0.2497,112.11,31.219,8,20,0.0,0.92,What year did World War II end?…
3. No Context (Random),5,Cold,0.2242,124.89,28.024,8,20,0.0,0.92,What is the tallest species of tree?…
3. No Context (Random),6,Cold,0.264,98.48,44.002,6,20,0.0,0.92,Who wrote The Divine Comedy?…
3. No Context (Random),7,Cold,0.2176,124.09,31.085,7,20,0.0,0.92,What is the hardest rock type?…
3. No Context (Random),8,Cold,0.1945,143.96,24.312,8,20,0.0,0.92,How many hearts does a squid have?…
3. No Context (Random),9,Cold,0.1532,195.83,15.32,10,20,0.0,0.92,What is the main ingredient in guacamole?…
3. No Context (Random),10,Cold,0.1921,140.54,27.445,7,20,0.0,0.92,Who developed the polio vaccine?…
3. No Context (Random),11,Cold,0.2656,105.43,33.198,8,20,0.0,0.92,What is the longest-running Broadway show?…
3. No Context (Random),12,Cold,0.2852,101.68,31.69,9,20,0.0,0.92,What is the square of 25?…
3. No Context (Random),13,Cold,0.1721,180.15,15.644,11,20,0.0,0.92,Who was the first woman to win a Nobel Prize?…
3. No Context (Random),14,Cold,0.2071,130.38,29.583,7,20,0.0,0.92,What is the currency of Brazil?…
3. No Context (Random),15,Cold,0.2331,124.43,25.896,9,20,0.0,0.92,What gas do plants absorb during photosynthesis?…
3. No Context (Random),16,Cold,0.2605,103.63,37.219,7,20,0.0,0.92,Who directed the movie Jaws?…
3. No Context (Random),17,Cold,0.2933,105.69,26.665,11,20,0.0,0.92,What is the largest internal organ in the human body?…
3. No Context (Random),18,Cold,0.2123,136.61,23.587,9,20,0.0,0.92,How many elements are in the periodic table?…
3. No Context (Random),19,Cold,0.2025,148.13,20.252,10,20,0.0,0.92,What is the freezing point of mercury in Celsius?…
3. No Context (Random),20,Cold,0.2159,125.05,30.844,7,20,0.0,0.92,Who painted The School of Athens?…
3. No Context (Random),21,Cold,0.2434,115.02,30.431,8,20,0.0,0.92,What is the smallest unit of life?…
3. No Context (Random),22,Cold,0.2214,130.97,24.604,9,20,0.0,0.92,How many time zones are there in Russia?…
3. No Context (Random),23,Cold,0.2159,134.31,23.992,9,20,0.0,0.92,What is the main language spoken in Argentina?…
3. No Context (Random),24,Cold,0.1802,144.26,30.039,6,20,0.0,0.92,Who invented the diesel engine?…
3. No Context (Random),25,Cold,0.2226,130.28,24.734,9,20,0.0,0.92,What is the diameter of Earth in kilometers?…
3. No Context (Random),26,Cold,0.2016,138.92,25.194,8,20,0.0,0.92,What is the rarest blood type?…
3. No Context (Random),27,Cold,0.2418,111.65,34.547,7,20,0.0,0.92,Who composed The Magic Flute?…
3. No Context (Random),28,Cold,0.1953,143.34,24.417,8,20,0.0,0.92,What is the powerhouse of a computer?…
3. No Context (Random),29,Cold,0.2174,142.61,19.761,11,20,0.0,0.92,How many sides does a dodecagon have?…
3. No Context (Random),30,Cold,0.2812,103.13,31.244,9,20,0.0,0.92,What is the largest species of penguin?…
3. No Context (Random),31,Cold,0.2028,128.22,33.796,6,20,0.0,0.92,Who discovered the planet Neptune?…
3. No Context (Random),32,Cold,0.2164,138.62,21.642,10,20,0.0,0.92,What is the boiling point of nitrogen in Celsius?…
3. No Context (Random),33,Cold,0.1903,152.37,21.147,9,20,0.0,0.92,What is the fastest bird in a dive?…
3. No Context (Random),34,Cold,0.1579,183.66,17.545,9,20,0.0,0.92,Who wrote The Brothers Karamazov?…
3. No Context (Random),35,Cold,0.1532,195.84,15.318,10,20,0.0,0.92,What is the largest artery in the human body?…
3. No Context (Random),36,Cold,0.1545,194.19,15.449,10,20,0.0,0.92,How many keys are on a standard computer keyboard?…
3. No Context (Random),37,Cold,0.174,160.94,21.747,8,20,0.0,0.92,What is the smallest country by population?…
3. No Context (Random),38,Cold,0.1594,156.82,31.883,5,20,0.0,0.92,Who invented the telescope?…
3. No Context (Random),39,Cold,0.2267,127.93,25.187,9,20,0.0,0.92,What is the main component of natural gas?…
3. No Context (Random),40,Cold,0.2092,148.2,19.016,11,20,0.0,0.92,How many amendments are in the U.S. Constitution?…
3. No Context (Random),41,Cold,0.1841,157.56,20.45,9,20,0.0,0.92,What is the deepest lake in the world?…
3. No Context (Random),42,Cold,0.1681,166.6,21.008,8,20,0.0,0.92,Who was the first emperor of China?…
3. No Context (Random),43,Cold,0.2142,130.72,26.774,8,20,0.0,0.92,What is the currency of South Africa?…
3. No Context (Random),44,Cold,0.1842,157.45,20.465,9,20,0.0,0.92,What is the longest bone in the arm?…
3. No Context (Random),45,Cold,0.2659,101.54,37.985,7,20,0.0,0.92,Who discovered the circulation of blood?…
3. No Context (Random),46,Cold,0.2114,137.18,23.49,9,20,0.0,0.92,What is the primary ingredient in hummus?…
3. No Context (Random),47,Cold,0.2653,101.77,37.9,7,20,0.0,0.92,How many moons does Mars have?…
3. No Context (Random),48,Cold,0.2284,122.58,28.554,8,20,0.0,0.92,What is the largest species of cat?…
3. No Context (Random),49,Cold,0.2708,107.07,30.094,9,20,0.0,0.92,Who wrote The Picture of Dorian Gray?…
3. No Context (Random),50,Cold,0.198,141.38,24.756,8,20,0.0,0.92,What is the chemical formula for methane?…
4. Multi-Turn Chat,1,Cold,0.195,435.83,3.0,65,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,2,Warm,0.1966,569.57,2.137,92,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,3,Warm,0.1604,891.54,1.304,123,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,4,Warm,0.175,937.15,1.215,144,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,5,Warm,0.2086,944.45,1.178,177,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,6,Warm,0.2463,893.25,1.231,200,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,7,Warm,0.2629,935.72,1.163,226,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,8,Warm,0.2615,1055.58,1.021,256,20,3.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,9,Warm,0.2118,1407.32,0.762,278,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,10,Warm,0.2109,1536.05,0.694,304,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,11,Warm,0.2367,1487.08,0.713,332,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,12,Warm,0.1642,2332.1,0.452,363,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,13,Warm,0.2065,1975.76,0.532,388,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,14,Warm,0.2211,1976.78,0.53,417,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,15,Warm,0.1643,2818.04,0.371,443,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,16,Warm,0.1604,3068.15,0.34,472,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,17,Warm,0.1654,3192.32,0.326,508,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,18,Warm,0.2062,2687.06,0.386,534,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,19,Warm,0.2045,2821.44,0.367,557,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,20,Warm,0.2485,2442.54,0.423,587,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,21,Warm,0.2314,2735.6,0.377,613,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,22,Warm,0.2016,3284.03,0.314,642,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,23,Warm,0.255,2697.86,0.382,668,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,24,Warm,0.2284,3113.14,0.331,691,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,25,Warm,0.2478,2993.8,0.343,722,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,26,Warm,0.1724,4454.7,0.23,748,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,27,Warm,0.1693,4697.1,0.218,775,20,12.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,28,Warm,0.2022,4065.79,0.252,802,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,29,Warm,0.1709,4979.86,0.206,831,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,30,Warm,0.2473,3546.21,0.289,857,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,31,Warm,0.1729,5229.24,0.196,884,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,32,Warm,0.2079,4496.95,0.227,915,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,33,Warm,0.2817,3436.83,0.297,948,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,34,Warm,0.235,4226.1,0.241,973,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,35,Warm,0.1873,5439.5,0.188,999,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,36,Warm,0.2242,4691.41,0.217,1032,20,18.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,37,Warm,0.2183,4946.71,0.206,1060,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,38,Warm,0.2232,4958.62,0.205,1087,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,39,Warm,0.2775,4076.05,0.25,1111,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
