Experiment,Query_ID,State,Latency (s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,L1 GPU KV Usage (%),L2 CPU Cache (MB),L3 Disk Cache (MB),Disk Delta (MB),New Cache Chunks,RAM (GB),Prompt Preview
1. Shared Prefix,28,Warm,0.1344,1435.56,0.777,173,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,29,Warm,0.1544,1211.42,0.924,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,30,Warm,0.1481,1255.5,0.892,166,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,31,Warm,0.1337,1391.67,0.805,166,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,32,Warm,0.1372,1341.14,0.837,164,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,33,Warm,0.1359,1405.59,0.795,171,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,34,Warm,0.1462,1251.44,0.897,163,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,35,Warm,0.1312,1433.33,0.781,168,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,36,Warm,0.1357,1377.75,0.813,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,37,Warm,0.132,1416.16,0.791,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,38,Warm,0.1474,1282.24,0.872,169,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,39,Warm,0.1351,1398.55,0.8,169,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,40,Warm,0.1354,1365.92,0.821,165,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,41,Warm,0.1402,1347.64,0.83,169,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,42,Warm,0.1369,1365.81,0.82,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,43,Warm,0.1371,1378.38,0.811,169,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,44,Warm,0.1384,1350.76,0.829,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,45,Warm,0.1333,1425.6,0.784,170,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,46,Warm,0.1421,1316.31,0.851,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,47,Warm,0.133,1444.11,0.773,172,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,48,Warm,0.1323,1420.9,0.788,168,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,49,Warm,0.1358,1376.96,0.813,167,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,50,Warm,0.1327,1386.22,0.809,164,20,,0.0,0.0,0.0,0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),1,Cold,0.2838,6211.86,0.163,1743,20,,0.0,18.0,18.0,6,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),2,Warm,0.159,11160.85,0.091,1755,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),3,Warm,0.1574,11257.85,0.09,1752,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),4,Warm,0.1506,11775.79,0.086,1754,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),5,Warm,0.1505,11786.63,0.086,1754,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),6,Warm,0.1499,11796.93,0.086,1748,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),7,Warm,0.1457,12176.44,0.083,1754,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),8,Warm,0.1761,10092.97,0.1,1757,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),9,Warm,0.1417,12522.4,0.081,1755,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),10,Warm,0.1862,9505.01,0.106,1750,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),11,Warm,0.1717,10307.71,0.098,1750,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),12,Warm,0.1569,11271.11,0.09,1748,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),13,Warm,0.1554,11404.83,0.089,1752,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),14,Warm,0.1498,11880.08,0.085,1760,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),15,Warm,0.1459,12079.85,0.084,1742,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),16,Warm,0.1415,12506.16,0.081,1749,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),17,Warm,0.1409,12571.3,0.08,1751,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),18,Warm,0.1391,12725.26,0.079,1750,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),19,Warm,0.1427,12426.43,0.081,1753,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),20,Warm,0.1519,11678.9,0.087,1754,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),21,Warm,0.1469,12031.9,0.084,1747,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),22,Warm,0.1533,11588.33,0.087,1756,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),23,Warm,0.1668,10625.69,0.095,1752,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),24,Warm,0.1615,10936.13,0.092,1746,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),25,Warm,0.1645,10758.09,0.094,1750,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),26,Warm,0.1537,11508.53,0.088,1749,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),27,Warm,0.1441,12279.6,0.082,1749,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),28,Warm,0.1506,11730.21,0.086,1746,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),29,Warm,0.16,11037.2,0.092,1746,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),30,Warm,0.1477,11971.74,0.084,1748,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),31,Warm,0.1516,11660.96,0.087,1748,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),32,Warm,0.1569,11276.16,0.09,1749,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),33,Warm,0.1561,11355.11,0.089,1753,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),34,Warm,0.1421,12453.12,0.081,1749,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),35,Warm,0.1434,12284.18,0.082,1741,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),36,Warm,0.1514,11681.94,0.087,1749,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),37,Warm,0.1585,11108.67,0.091,1741,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),38,Warm,0.1819,9717.95,0.104,1748,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),39,Warm,0.1478,11951.51,0.085,1747,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),40,Warm,0.1617,10912.52,0.093,1745,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),41,Warm,0.1614,10952.62,0.092,1748,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),42,Warm,0.1531,11562.43,0.087,1750,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),43,Warm,0.1497,11806.48,0.086,1748,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),44,Warm,0.1859,9530.56,0.106,1752,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),45,Warm,0.1692,10427.87,0.097,1744,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),46,Warm,0.1563,11302.48,0.089,1747,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),47,Warm,0.1449,12205.19,0.083,1749,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),48,Warm,0.1686,10525.17,0.096,1755,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),49,Warm,0.1661,10626.08,0.095,1745,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),50,Warm,0.1455,12204.33,0.083,1756,20,,0.0,18.0,0.0,0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
3. No Context (Random),1,Cold,0.1431,188.62,20.45,7,20,,0.0,0.0,0.0,0,0.92,Who is the founder of Microsoft?…
3. No Context (Random),2,Cold,0.1485,188.57,18.561,8,20,,0.0,0.0,0.0,0,0.92,What is the chemical symbol for sodium?…
3. No Context (Random),3,Cold,0.1461,205.37,14.608,10,20,,0.0,0.0,0.0,0,0.92,How many players are there in a baseball team?…
3. No Context (Random),4,Cold,0.1389,201.51,17.369,8,20,,0.0,0.0,0.0,0,0.92,What year did World War II end?…
3. No Context (Random),5,Cold,0.1492,187.64,18.653,8,20,,0.0,0.0,0.0,0,0.92,What is the tallest species of tree?…
3. No Context (Random),6,Cold,0.1364,190.57,22.738,6,20,,0.0,0.0,0.0,0,0.92,Who wrote The Divine Comedy?…
3. No Context (Random),7,Cold,0.1427,189.26,20.38,7,20,,0.0,0.0,0.0,0,0.92,What is the hardest rock type?…
3. No Context (Random),8,Cold,0.1481,189.07,18.512,8,20,,0.0,0.0,0.0,0,0.92,How many hearts does a squid have?…
3. No Context (Random),9,Cold,0.1641,182.86,16.406,10,20,,0.0,0.0,0.0,0,0.92,What is the main ingredient in guacamole?…
3. No Context (Random),10,Cold,0.1371,196.96,19.584,7,20,,0.0,0.0,0.0,0,0.92,Who developed the polio vaccine?…
3. No Context (Random),11,Cold,0.1529,183.07,19.118,8,20,,0.0,0.0,0.0,0,0.92,What is the longest-running Broadway show?…
3. No Context (Random),12,Cold,0.1415,205.0,15.718,9,20,,0.0,0.0,0.0,0,0.92,What is the square of 25?…
3. No Context (Random),13,Cold,0.1482,209.2,13.471,11,20,,0.0,0.0,0.0,0,0.92,Who was the first woman to win a Nobel Prize?…
3. No Context (Random),14,Cold,0.1381,195.45,19.735,7,20,,0.0,0.0,0.0,0,0.92,What is the currency of Brazil?…
3. No Context (Random),15,Cold,0.1359,213.38,15.101,9,20,,0.0,0.0,0.0,0,0.92,What gas do plants absorb during photosynthesis?…
3. No Context (Random),16,Cold,0.1597,169.02,22.821,7,20,,0.0,0.0,0.0,0,0.92,Who directed the movie Jaws?…
3. No Context (Random),17,Cold,0.1436,215.88,13.054,11,20,,0.0,0.0,0.0,0,0.92,What is the largest internal organ in the human body?…
3. No Context (Random),18,Cold,0.1334,217.45,14.819,9,20,,0.0,0.0,0.0,0,0.92,How many elements are in the periodic table?…
3. No Context (Random),19,Cold,0.1369,219.14,13.69,10,20,,0.0,0.0,0.0,0,0.92,What is the freezing point of mercury in Celsius?…
3. No Context (Random),20,Cold,0.1327,203.42,18.961,7,20,,0.0,0.0,0.0,0,0.92,Who painted The School of Athens?…
3. No Context (Random),21,Cold,0.1455,192.5,18.182,8,20,,0.0,0.0,0.0,0,0.92,What is the smallest unit of life?…
3. No Context (Random),22,Cold,0.1606,180.61,17.84,9,20,,0.0,0.0,0.0,0,0.92,How many time zones are there in Russia?…
3. No Context (Random),23,Cold,0.1498,193.62,16.642,9,20,,0.0,0.0,0.0,0,0.92,What is the main language spoken in Argentina?…
3. No Context (Random),24,Cold,0.1498,173.55,24.969,6,20,,0.0,0.0,0.0,0,0.92,Who invented the diesel engine?…
3. No Context (Random),25,Cold,0.1446,200.56,16.066,9,20,,0.0,0.0,0.0,0,0.92,What is the diameter of Earth in kilometers?…
3. No Context (Random),26,Cold,0.1629,171.93,20.358,8,20,,0.0,0.0,0.0,0,0.92,What is the rarest blood type?…
3. No Context (Random),27,Cold,0.1503,179.6,21.476,7,20,,0.0,0.0,0.0,0,0.92,Who composed The Magic Flute?…
3. No Context (Random),28,Cold,0.1521,184.12,19.009,8,20,,0.0,0.0,0.0,0,0.92,What is the powerhouse of a computer?…
3. No Context (Random),29,Cold,0.1495,207.36,13.591,11,20,,0.0,0.0,0.0,0,0.92,How many sides does a dodecagon have?…
3. No Context (Random),30,Cold,0.1383,209.66,15.369,9,20,,0.0,0.0,0.0,0,0.92,What is the largest species of penguin?…
3. No Context (Random),31,Cold,0.1549,167.85,25.817,6,20,,0.0,0.0,0.0,0,0.92,Who discovered the planet Neptune?…
3. No Context (Random),32,Cold,0.1608,186.6,16.078,10,20,,0.0,0.0,0.0,0,0.92,What is the boiling point of nitrogen in Celsius?…
3. No Context (Random),33,Cold,0.1365,212.38,15.172,9,20,,0.0,0.0,0.0,0,0.92,What is the fastest bird in a dive?…
3. No Context (Random),34,Cold,0.1334,217.35,14.825,9,20,,0.0,0.0,0.0,0,0.92,Who wrote The Brothers Karamazov?…
3. No Context (Random),35,Cold,0.1342,223.57,13.419,10,20,,0.0,0.0,0.0,0,0.92,What is the largest artery in the human body?…
3. No Context (Random),36,Cold,0.1354,221.62,13.537,10,20,,0.0,0.0,0.0,0,0.92,How many keys are on a standard computer keyboard?…
3. No Context (Random),37,Cold,0.1349,207.62,16.858,8,20,,0.0,0.0,0.0,0,0.92,What is the smallest country by population?…
3. No Context (Random),38,Cold,0.1369,182.63,27.378,5,20,,0.0,0.0,0.0,0,0.92,Who invented the telescope?…
3. No Context (Random),39,Cold,0.1337,216.93,14.854,9,20,,0.0,0.0,0.0,0,0.92,What is the main component of natural gas?…
3. No Context (Random),40,Cold,0.1484,208.87,13.493,11,20,,0.0,0.0,0.0,0,0.92,How many amendments are in the U.S. Constitution?…
3. No Context (Random),41,Cold,0.1469,197.38,16.325,9,20,,0.0,0.0,0.0,0,0.92,What is the deepest lake in the world?…
3. No Context (Random),42,Cold,0.1337,209.44,16.711,8,20,,0.0,0.0,0.0,0,0.92,Who was the first emperor of China?…
3. No Context (Random),43,Cold,0.1348,207.73,16.849,8,20,,0.0,0.0,0.0,0,0.92,What is the currency of South Africa?…
3. No Context (Random),44,Cold,0.1387,209.15,15.406,9,20,,0.0,0.0,0.0,0,0.92,What is the longest bone in the arm?…
3. No Context (Random),45,Cold,0.1395,193.49,19.935,7,20,,0.0,0.0,0.0,0,0.92,Who discovered the circulation of blood?…
3. No Context (Random),46,Cold,0.1357,213.72,15.077,9,20,,0.0,0.0,0.0,0,0.92,What is the primary ingredient in hummus?…
3. No Context (Random),47,Cold,0.136,198.46,19.435,7,20,,0.0,0.0,0.0,0,0.92,How many moons does Mars have?…
3. No Context (Random),48,Cold,0.1456,192.32,18.199,8,20,,0.0,0.0,0.0,0,0.92,What is the largest species of cat?…
3. No Context (Random),49,Cold,0.1366,212.32,15.176,9,20,,0.0,0.0,0.0,0,0.92,Who wrote The Picture of Dorian Gray?…
3. No Context (Random),50,Cold,0.1374,203.86,17.169,8,20,,0.0,0.0,0.0,0,0.92,What is the chemical formula for methane?…
4. Multi-Turn Chat,1,Cold,0.1507,564.03,2.318,65,20,,0.0,0.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,2,Warm,0.1396,802.55,1.517,92,20,,0.0,0.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,3,Warm,0.1546,925.05,1.257,123,20,,0.0,0.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,4,Warm,0.1422,1153.37,0.987,144,20,,0.0,0.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,5,Warm,0.1435,1372.82,0.811,177,20,,0.0,0.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,6,Warm,0.1374,1601.02,0.687,200,20,,0.0,0.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,7,Warm,0.1358,1811.86,0.601,226,20,,0.0,0.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,8,Partial,0.1719,1605.77,0.671,256,20,,0.0,3.0,3.0,1,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,9,Partial,0.164,1817.13,0.59,278,20,,0.0,6.0,3.0,1,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,10,Warm,0.1395,2322.36,0.459,304,20,,0.0,6.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,11,Warm,0.1563,2252.79,0.471,332,20,,0.0,6.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,12,Warm,0.1469,2607.51,0.405,363,20,,0.0,6.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,13,Warm,0.1513,2697.34,0.39,388,20,,0.0,6.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,14,Warm,0.142,3076.44,0.341,417,20,,0.0,6.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,15,Warm,0.1435,3226.02,0.324,443,20,,0.0,6.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,16,Warm,0.153,3214.7,0.324,472,20,,0.0,6.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,17,Warm,0.1442,3661.17,0.284,508,20,,0.0,6.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,18,Partial,0.1674,3309.33,0.313,534,20,,0.0,9.0,3.0,1,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,19,Warm,0.1431,4033.52,0.257,557,20,,0.0,9.0,0.0,0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
