Experiment,Query_ID,State,Latency (s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,L3 Disk Cache (MB),RAM (GB),Prompt Preview
1. Shared Prefix,14,Warm,0.1962,937.66,1.197,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,15,Warm,0.1868,1006.34,1.112,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,16,Warm,0.1887,980.21,1.144,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,17,Warm,0.1695,1097.28,1.021,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,18,Warm,0.1827,1001.86,1.121,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,19,Warm,0.2019,941.03,1.188,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,20,Warm,0.2685,681.69,1.647,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,21,Warm,0.2457,761.11,1.471,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,22,Warm,0.1642,1133.01,0.989,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,23,Warm,0.1617,1181.28,0.946,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,24,Warm,0.267,692.83,1.618,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,25,Warm,0.2242,847.54,1.319,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,26,Warm,0.1737,1064.83,1.053,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,27,Warm,0.1822,1031.64,1.085,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,28,Warm,0.1812,1064.94,1.048,173,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,29,Warm,0.1938,964.76,1.161,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,30,Warm,0.1695,1097.19,1.021,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,31,Warm,0.2318,802.31,1.397,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,32,Warm,0.1701,1081.75,1.037,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,33,Warm,0.2044,934.35,1.195,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,34,Warm,0.1794,1019.81,1.101,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,35,Warm,0.2383,788.88,1.419,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,36,Warm,0.168,1113.39,1.006,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,37,Warm,0.2184,856.12,1.308,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,38,Warm,0.2226,849.01,1.317,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,39,Warm,0.2115,893.6,1.251,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,40,Warm,0.1813,1020.55,1.099,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,41,Warm,0.1891,999.73,1.119,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,42,Warm,0.2168,862.37,1.298,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,43,Warm,0.2582,732.0,1.528,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,44,Warm,0.2469,757.32,1.479,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,45,Warm,0.2413,787.53,1.419,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,46,Warm,0.2178,858.51,1.304,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,47,Warm,0.2273,844.83,1.321,172,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,48,Warm,0.1814,1036.24,1.08,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,49,Warm,0.1616,1157.5,0.967,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,50,Warm,0.1785,1030.78,1.088,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),1,Cold,0.1996,917.03,1.224,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),2,Warm,0.2483,736.88,1.524,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),3,Warm,0.2424,754.98,1.487,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),4,Warm,0.1855,1008.33,1.111,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),5,Warm,0.2399,783.82,1.428,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),6,Warm,0.2771,667.52,1.68,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),7,Warm,0.158,1234.56,0.903,175,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),8,Warm,0.1812,1031.89,1.085,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),9,Warm,0.2153,887.03,1.259,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),10,Warm,0.164,1146.42,0.976,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),11,Warm,0.2068,913.94,1.224,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),12,Warm,0.2216,843.75,1.327,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),13,Warm,0.1625,1156.58,0.968,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),14,Warm,0.2651,693.98,1.617,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),15,Warm,0.1706,1101.7,1.016,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),16,Warm,0.2034,909.65,1.233,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),17,Warm,0.2144,867.58,1.291,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),18,Warm,0.2209,828.54,1.355,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),19,Warm,0.186,1021.54,1.094,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),20,Warm,0.1532,1194.39,0.94,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),21,Warm,0.1544,1211.49,0.924,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),22,Warm,0.1619,1148.97,0.975,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),23,Warm,0.2069,923.18,1.21,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),24,Warm,0.2895,638.98,1.755,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),25,Warm,0.1567,1212.72,0.922,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),26,Warm,0.1535,1205.35,0.93,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),27,Warm,0.1777,1058.26,1.057,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),28,Warm,0.2144,900.38,1.239,173,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),29,Warm,0.2932,637.72,1.756,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),30,Warm,0.2767,672.32,1.667,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),31,Warm,0.2803,663.54,1.689,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),32,Warm,0.267,689.2,1.628,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),33,Warm,0.2431,785.58,1.422,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),34,Warm,0.2192,834.87,1.345,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),35,Warm,0.1883,998.15,1.121,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),36,Warm,0.2164,864.29,1.296,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),37,Warm,0.2001,934.5,1.198,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),38,Warm,0.2416,782.37,1.429,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),39,Warm,0.2059,917.8,1.219,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),40,Warm,0.207,893.89,1.254,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),41,Warm,0.1873,1008.83,1.109,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),42,Warm,0.229,816.6,1.371,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),43,Warm,0.2782,679.3,1.646,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),44,Warm,0.2103,889.1,1.259,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),45,Warm,0.1787,1063.11,1.051,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),46,Warm,0.2271,823.44,1.36,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),47,Warm,0.1974,972.54,1.148,172,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),48,Warm,0.1591,1181.87,0.947,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),49,Warm,0.2728,685.41,1.634,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),50,Warm,0.1809,1017.07,1.103,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
3. No Context (Random),1,Cold,0.2203,122.54,31.477,7,20,0.0,0.92,Who is the founder of Microsoft?…
3. No Context (Random),2,Cold,0.1762,158.93,22.022,8,20,0.0,0.92,What is the chemical symbol for sodium?…
3. No Context (Random),3,Cold,0.174,172.44,17.397,10,20,0.0,0.92,How many players are there in a baseball team?…
3. No Context (Random),4,Cold,0.1543,181.52,19.282,8,20,0.0,0.92,What year did World War II end?…
3. No Context (Random),5,Cold,0.1795,155.95,22.443,8,20,0.0,0.92,What is the tallest species of tree?…
3. No Context (Random),6,Cold,0.2039,127.5,33.988,6,20,0.0,0.92,Who wrote The Divine Comedy?…
3. No Context (Random),7,Cold,0.2259,119.52,32.273,7,20,0.0,0.92,What is the hardest rock type?…
3. No Context (Random),8,Cold,0.1977,141.63,24.713,8,20,0.0,0.92,How many hearts does a squid have?…
3. No Context (Random),9,Cold,0.1667,179.98,16.668,10,20,0.0,0.92,What is the main ingredient in guacamole?…
3. No Context (Random),10,Cold,0.2015,133.97,28.791,7,20,0.0,0.92,Who developed the polio vaccine?…
3. No Context (Random),11,Cold,0.2011,139.27,25.132,8,20,0.0,0.92,What is the longest-running Broadway show?…
3. No Context (Random),12,Cold,0.2222,130.54,24.683,9,20,0.0,0.92,What is the square of 25?…
3. No Context (Random),13,Cold,0.1866,166.14,16.963,11,20,0.0,0.92,Who was the first woman to win a Nobel Prize?…
3. No Context (Random),14,Cold,0.1648,163.81,23.547,7,20,0.0,0.92,What is the currency of Brazil?…
3. No Context (Random),15,Cold,0.2136,135.74,23.739,9,20,0.0,0.92,What gas do plants absorb during photosynthesis?…
3. No Context (Random),16,Cold,0.1602,168.5,22.891,7,20,0.0,0.92,Who directed the movie Jaws?…
3. No Context (Random),17,Cold,0.1937,160.05,17.608,11,20,0.0,0.92,What is the largest internal organ in the human body?…
3. No Context (Random),18,Cold,0.307,94.46,34.113,9,20,0.0,0.92,How many elements are in the periodic table?…
3. No Context (Random),19,Cold,0.2882,104.11,28.816,10,20,0.0,0.92,What is the freezing point of mercury in Celsius?…
3. No Context (Random),20,Cold,0.2505,107.79,35.785,7,20,0.0,0.92,Who painted The School of Athens?…
3. No Context (Random),21,Cold,0.2351,119.1,29.386,8,20,0.0,0.92,What is the smallest unit of life?…
3. No Context (Random),22,Cold,0.1905,152.27,21.162,9,20,0.0,0.92,How many time zones are there in Russia?…
3. No Context (Random),23,Cold,0.2487,116.62,27.631,9,20,0.0,0.92,What is the main language spoken in Argentina?…
3. No Context (Random),24,Cold,0.2611,99.58,43.516,6,20,0.0,0.92,Who invented the diesel engine?…
3. No Context (Random),25,Cold,0.2475,117.15,27.505,9,20,0.0,0.92,What is the diameter of Earth in kilometers?…
3. No Context (Random),26,Cold,0.2325,120.41,29.068,8,20,0.0,0.92,What is the rarest blood type?…
3. No Context (Random),27,Cold,0.2606,103.59,37.235,7,20,0.0,0.92,Who composed The Magic Flute?…
3. No Context (Random),28,Cold,0.2811,99.61,35.136,8,20,0.0,0.92,What is the powerhouse of a computer?…
3. No Context (Random),29,Cold,0.2459,126.07,22.354,11,20,0.0,0.92,How many sides does a dodecagon have?…
3. No Context (Random),30,Cold,0.2175,133.36,24.161,9,20,0.0,0.92,What is the largest species of penguin?…
3. No Context (Random),31,Cold,0.2419,107.47,40.323,6,20,0.0,0.92,Who discovered the planet Neptune?…
3. No Context (Random),32,Cold,0.1942,154.48,19.42,10,20,0.0,0.92,What is the boiling point of nitrogen in Celsius?…
3. No Context (Random),33,Cold,0.1947,148.95,21.633,9,20,0.0,0.92,What is the fastest bird in a dive?…
3. No Context (Random),34,Cold,0.2906,99.78,32.294,9,20,0.0,0.92,Who wrote The Brothers Karamazov?…
3. No Context (Random),35,Cold,0.218,137.6,21.802,10,20,0.0,0.92,What is the largest artery in the human body?…
3. No Context (Random),36,Cold,0.1993,150.49,19.934,10,20,0.0,0.92,How many keys are on a standard computer keyboard?…
3. No Context (Random),37,Cold,0.3072,91.14,38.402,8,20,0.0,0.92,What is the smallest country by population?…
3. No Context (Random),38,Cold,0.206,121.35,41.204,5,20,0.0,0.92,Who invented the telescope?…
3. No Context (Random),39,Cold,0.2489,116.51,27.657,9,20,0.0,0.92,What is the main component of natural gas?…
3. No Context (Random),40,Cold,0.2224,139.4,20.217,11,20,0.0,0.92,How many amendments are in the U.S. Constitution?…
3. No Context (Random),41,Cold,0.261,111.11,29.0,9,20,0.0,0.92,What is the deepest lake in the world?…
3. No Context (Random),42,Cold,0.2421,115.67,30.258,8,20,0.0,0.92,Who was the first emperor of China?…
3. No Context (Random),43,Cold,0.2928,95.64,36.595,8,20,0.0,0.92,What is the currency of South Africa?…
3. No Context (Random),44,Cold,0.2738,105.91,30.424,9,20,0.0,0.92,What is the longest bone in the arm?…
3. No Context (Random),45,Cold,0.2539,106.35,36.268,7,20,0.0,0.92,Who discovered the circulation of blood?…
3. No Context (Random),46,Cold,0.2023,143.37,22.474,9,20,0.0,0.92,What is the primary ingredient in hummus?…
3. No Context (Random),47,Cold,0.2491,108.39,35.585,7,20,0.0,0.92,How many moons does Mars have?…
3. No Context (Random),48,Cold,0.2357,118.8,29.461,8,20,0.0,0.92,What is the largest species of cat?…
3. No Context (Random),49,Cold,0.201,144.3,22.329,9,20,0.0,0.92,Who wrote The Picture of Dorian Gray?…
3. No Context (Random),50,Cold,0.1887,148.37,23.59,8,20,0.0,0.92,What is the chemical formula for methane?…
4. Multi-Turn Chat,1,Cold,0.1767,480.93,2.719,65,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,2,Warm,0.1826,613.32,1.985,92,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,3,Warm,0.1852,772.23,1.506,123,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,4,Warm,0.1615,1015.17,1.122,144,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,5,Warm,0.1632,1207.05,0.922,177,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,6,Warm,0.1594,1380.52,0.797,200,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,7,Warm,0.1896,1297.63,0.839,226,20,0.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,8,Warm,0.1658,1664.23,0.648,256,20,3.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,9,Warm,0.1642,1814.72,0.591,278,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,10,Warm,0.2081,1556.93,0.685,304,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,11,Warm,0.2435,1445.59,0.733,332,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,12,Warm,0.1831,2091.37,0.504,363,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,13,Warm,0.2289,1782.12,0.59,388,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,14,Warm,0.1958,2231.93,0.47,417,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,15,Warm,0.1653,2801.43,0.373,443,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,16,Warm,0.2138,2301.13,0.453,472,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,17,Warm,0.2394,2205.53,0.471,508,20,6.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,18,Warm,0.2949,1878.45,0.552,534,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,19,Warm,0.1646,3506.21,0.295,557,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,20,Warm,0.2299,2640.74,0.392,587,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,21,Warm,0.2037,3107.51,0.332,613,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,22,Warm,0.2128,3111.19,0.331,642,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,23,Warm,0.2351,2926.25,0.352,668,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,24,Warm,0.2435,2920.51,0.352,691,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,25,Warm,0.2237,3316.39,0.31,722,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,26,Warm,0.161,4768.88,0.215,748,20,9.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,27,Warm,0.2429,3273.55,0.313,775,20,12.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,28,Warm,0.1904,4318.34,0.237,802,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,29,Warm,0.2299,3701.0,0.277,831,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,30,Warm,0.2727,3216.42,0.318,857,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,31,Warm,0.2107,4290.08,0.238,884,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,32,Warm,0.2431,3846.41,0.266,915,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,33,Warm,0.2532,3822.89,0.267,948,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,34,Warm,0.2012,4934.35,0.207,973,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,35,Warm,0.2974,3426.42,0.298,999,20,15.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,36,Warm,0.2259,4656.39,0.219,1032,20,18.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,37,Warm,0.2107,5125.28,0.199,1060,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,38,Warm,0.2214,5000.81,0.204,1087,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,39,Warm,0.189,5985.62,0.17,1111,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,40,Warm,0.2892,4020.79,0.253,1143,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,41,Warm,0.2673,4466.1,0.228,1174,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,42,Warm,0.2321,5265.53,0.193,1202,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
4. Multi-Turn Chat,43,Warm,0.2054,6070.94,0.167,1227,20,21.0,0.92,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you exp…"
